team1,team2,total matches,wins,losses,no result,tied matches,toss_wins,toss_winner,winner,toss won & match won,toss won & match lost,toss lost & match won,toss lost & match lost,toss_decision,chose to bat,chose to bowl,batting first wins,batting second wins,win by runs,win by wickets,winner_runs,winner_wickets,last 5 matches,team1 recent form,team2 recent form
Delhi Capitals,Royal Challengers Bangalore,5,4,1,0,0,3,Delhi Capitals,Delhi Capitals,2,1,2,0,bat,2,0,1,0,86.0,6.0,86.0,6.0,"[{""date"":""2024-03-17"",""team1"":""Delhi Capitals"",""team2"":""Royal Challengers Bangalore"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":null,""winner_wickets"":8.0},{""date"":""2024-03-10"",""team1"":""Delhi Capitals"",""team2"":""Royal Challengers Bangalore"",""winner"":""Delhi Capitals"",""winner_runs"":1.0,""winner_wickets"":null},{""date"":""2024-02-29"",""team1"":""Delhi Capitals"",""team2"":""Royal Challengers Bangalore"",""winner"":""Delhi Capitals"",""winner_runs"":25.0,""winner_wickets"":null},{""date"":""2023-03-13"",""team1"":""Royal Challengers Bangalore"",""team2"":""Delhi Capitals"",""winner"":""Delhi Capitals"",""winner_runs"":null,""winner_wickets"":6.0},{""date"":""2023-03-05"",""team1"":""Delhi Capitals"",""team2"":""Royal Challengers Bangalore"",""winner"":""Delhi Capitals"",""winner_runs"":60.0,""winner_wickets"":null}]",LWWWW,WLLLL
Delhi Capitals,UP Warriorz,4,3,1,0,0,2,Delhi Capitals,Delhi Capitals,2,0,1,1,bowl,0,0,0,0,42.0,14.0,42.0,14.0,"[{""date"":""2024-03-08"",""team1"":""UP Warriorz"",""team2"":""Delhi Capitals"",""winner"":""UP Warriorz"",""winner_runs"":1.0,""winner_wickets"":null},{""date"":""2024-02-26"",""team1"":""UP Warriorz"",""team2"":""Delhi Capitals"",""winner"":""Delhi Capitals"",""winner_runs"":null,""winner_wickets"":9.0},{""date"":""2023-03-21"",""team1"":""UP Warriorz"",""team2"":""Delhi Capitals"",""winner"":""Delhi Capitals"",""winner_runs"":null,""winner_wickets"":5.0},{""date"":""2023-03-07"",""team1"":""Delhi Capitals"",""team2"":""UP Warriorz"",""winner"":""Delhi Capitals"",""winner_runs"":42.0,""winner_wickets"":null}]",LWWW,WLLL
Royal Challengers Bangalore,Mumbai Indians,5,2,3,0,0,3,Royal Challengers Bangalore,Mumbai Indians,2,1,0,2,bat,2,0,1,0,5.0,7.0,5.0,7.0,"[{""date"":""2024-03-15"",""team1"":""Royal Challengers Bangalore"",""team2"":""Mumbai Indians"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":5.0,""winner_wickets"":null},{""date"":""2024-03-12"",""team1"":""Mumbai Indians"",""team2"":""Royal Challengers Bangalore"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":null,""winner_wickets"":7.0},{""date"":""2024-03-02"",""team1"":""Royal Challengers Bangalore"",""team2"":""Mumbai Indians"",""winner"":""Mumbai Indians"",""winner_runs"":null,""winner_wickets"":7.0},{""date"":""2023-03-21"",""team1"":""Royal Challengers Bangalore"",""team2"":""Mumbai Indians"",""winner"":""Mumbai Indians"",""winner_runs"":null,""winner_wickets"":4.0},{""date"":""2023-03-06"",""team1"":""Royal Challengers Bangalore"",""team2"":""Mumbai Indians"",""winner"":""Mumbai Indians"",""winner_runs"":null,""winner_wickets"":9.0}]",WWLLL,LLWWW
Royal Challengers Bangalore,Gujarat Giants,4,2,2,0,0,1,Royal Challengers Bangalore,Gujarat Giants,1,0,1,2,bowl,0,0,1,0,0.0,16.0,0.0,16.0,"[{""date"":""2024-03-06"",""team1"":""Gujarat Giants"",""team2"":""Royal Challengers Bangalore"",""winner"":""Gujarat Giants"",""winner_runs"":19.0,""winner_wickets"":null},{""date"":""2024-02-27"",""team1"":""Gujarat Giants"",""team2"":""Royal Challengers Bangalore"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":null,""winner_wickets"":8.0},{""date"":""2023-03-18"",""team1"":""Gujarat Giants"",""team2"":""Royal Challengers Bangalore"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":null,""winner_wickets"":8.0},{""date"":""2023-03-08"",""team1"":""Gujarat Giants"",""team2"":""Royal Challengers Bangalore"",""winner"":""Gujarat Giants"",""winner_runs"":11.0,""winner_wickets"":null}]",LWWL,WLLW
Royal Challengers Bangalore,Delhi Capitals,5,1,4,0,0,2,Royal Challengers Bangalore,Delhi Capitals,0,2,1,2,bowl,0,0,1,0,0.0,8.0,0.0,8.0,"[{""date"":""2024-03-17"",""team1"":""Delhi Capitals"",""team2"":""Royal Challengers Bangalore"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":null,""winner_wickets"":8.0},{""date"":""2024-03-10"",""team1"":""Delhi Capitals"",""team2"":""Royal Challengers Bangalore"",""winner"":""Delhi Capitals"",""winner_runs"":1.0,""winner_wickets"":null},{""date"":""2024-02-29"",""team1"":""Delhi Capitals"",""team2"":""Royal Challengers Bangalore"",""winner"":""Delhi Capitals"",""winner_runs"":25.0,""winner_wickets"":null},{""date"":""2023-03-13"",""team1"":""Royal Challengers Bangalore"",""team2"":""Delhi Capitals"",""winner"":""Delhi Capitals"",""winner_runs"":null,""winner_wickets"":6.0},{""date"":""2023-03-05"",""team1"":""Delhi Capitals"",""team2"":""Royal Challengers Bangalore"",""winner"":""Delhi Capitals"",""winner_runs"":60.0,""winner_wickets"":null}]",WLLLL,LWWWW
Royal Challengers Bangalore,UP Warriorz,4,3,1,0,0,2,Royal Challengers Bangalore,Royal Challengers Bangalore,1,1,2,0,bat,1,0,0,0,25.0,5.0,25.0,5.0,"[{""date"":""2024-03-04"",""team1"":""Royal Challengers Bangalore"",""team2"":""UP Warriorz"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":23.0,""winner_wickets"":null},{""date"":""2024-02-24"",""team1"":""Royal Challengers Bangalore"",""team2"":""UP Warriorz"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":2.0,""winner_wickets"":null},{""date"":""2023-03-15"",""team1"":""UP Warriorz"",""team2"":""Royal Challengers Bangalore"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":null,""winner_wickets"":5.0},{""date"":""2023-03-10"",""team1"":""Royal Challengers Bangalore"",""team2"":""UP Warriorz"",""winner"":""UP Warriorz"",""winner_runs"":null,""winner_wickets"":10.0}]",WWWL,LLLW
UP Warriorz,Mumbai Indians,5,2,3,0,0,4,UP Warriorz,Mumbai Indians,2,2,0,1,bat,1,0,0,0,0.0,12.0,0.0,12.0,"[{""date"":""2024-03-07"",""team1"":""Mumbai Indians"",""team2"":""UP Warriorz"",""winner"":""Mumbai Indians"",""winner_runs"":42.0,""winner_wickets"":null},{""date"":""2024-02-28"",""team1"":""Mumbai Indians"",""team2"":""UP Warriorz"",""winner"":""UP Warriorz"",""winner_runs"":null,""winner_wickets"":7.0},{""date"":""2023-03-24"",""team1"":""Mumbai Indians"",""team2"":""UP Warriorz"",""winner"":""Mumbai Indians"",""winner_runs"":72.0,""winner_wickets"":null},{""date"":""2023-03-18"",""team1"":""Mumbai Indians"",""team2"":""UP Warriorz"",""winner"":""UP Warriorz"",""winner_runs"":null,""winner_wickets"":5.0},{""date"":""2023-03-12"",""team1"":""UP Warriorz"",""team2"":""Mumbai Indians"",""winner"":""Mumbai Indians"",""winner_runs"":null,""winner_wickets"":8.0}]",LWLWL,WLWLW
UP Warriorz,Gujarat Giants,4,3,1,0,0,1,UP Warriorz,UP Warriorz,1,0,2,1,bowl,0,0,2,0,0.0,12.0,0.0,12.0,"[{""date"":""2024-03-11"",""team1"":""Gujarat Giants"",""team2"":""UP Warriorz"",""winner"":""Gujarat Giants"",""winner_runs"":8.0,""winner_wickets"":null},{""date"":""2024-03-01"",""team1"":""Gujarat Giants"",""team2"":""UP Warriorz"",""winner"":""UP Warriorz"",""winner_runs"":null,""winner_wickets"":6.0},{""date"":""2023-03-20"",""team1"":""Gujarat Giants"",""team2"":""UP Warriorz"",""winner"":""UP Warriorz"",""winner_runs"":null,""winner_wickets"":3.0},{""date"":""2023-03-05"",""team1"":""Gujarat Giants"",""team2"":""UP Warriorz"",""winner"":""UP Warriorz"",""winner_runs"":null,""winner_wickets"":3.0}]",LWWW,WLLL
UP Warriorz,Delhi Capitals,4,1,3,0,0,2,UP Warriorz,Delhi Capitals,1,1,0,2,bat,1,0,1,0,1.0,0.0,1.0,0.0,"[{""date"":""2024-03-08"",""team1"":""UP Warriorz"",""team2"":""Delhi Capitals"",""winner"":""UP Warriorz"",""winner_runs"":1.0,""winner_wickets"":null},{""date"":""2024-02-26"",""team1"":""UP Warriorz"",""team2"":""Delhi Capitals"",""winner"":""Delhi Capitals"",""winner_runs"":null,""winner_wickets"":9.0},{""date"":""2023-03-21"",""team1"":""UP Warriorz"",""team2"":""Delhi Capitals"",""winner"":""Delhi Capitals"",""winner_runs"":null,""winner_wickets"":5.0},{""date"":""2023-03-07"",""team1"":""Delhi Capitals"",""team2"":""UP Warriorz"",""winner"":""Delhi Capitals"",""winner_runs"":42.0,""winner_wickets"":null}]",WLLL,LWWW
UP Warriorz,Royal Challengers Bangalore,4,1,3,0,0,2,UP Warriorz,Royal Challengers Bangalore,0,2,1,1,bowl,0,0,1,0,0.0,10.0,0.0,10.0,"[{""date"":""2024-03-04"",""team1"":""Royal Challengers Bangalore"",""team2"":""UP Warriorz"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":23.0,""winner_wickets"":null},{""date"":""2024-02-24"",""team1"":""Royal Challengers Bangalore"",""team2"":""UP Warriorz"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":2.0,""winner_wickets"":null},{""date"":""2023-03-15"",""team1"":""UP Warriorz"",""team2"":""Royal Challengers Bangalore"",""winner"":""Royal Challengers Bangalore"",""winner_runs"":null,""winner_wickets"":5.0},{""date"":""2023-03-10"",""team1"":""Royal Challengers Bangalore"",""team2"":""UP Warriorz"",""winner"":""UP Warriorz"",""winner_runs"":null,""winner_wickets"":10.0}]",LLLW,WWWL
